Name;Description;Geometry;geo_point_2d
"St-Michielsstraat - rue St-Michel
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";St-Michielsstraat - rue St-Michel<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3560979, 50.8518048], [4.3549016, 50.8522705]]}";50.85203765,4.35549975
"Rue du Pays de Liège
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Rue du Pays de Liège<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3459135, 50.8526193], [4.3464473, 50.8528564], [4.3468443, 50.8531849]]}";50.852870401,4.3463985373
Grote Markt;;"{""type"": ""LineString"", ""coordinates"": [[4.352928, 50.847399], [4.352708, 50.847188], [4.352466, 50.846982]]}";50.8471870775,4.35270009302
Martelarenplein - place des Marthyrs;;"{""type"": ""LineString"", ""coordinates"": [[4.355784, 50.851456], [4.35627, 50.851282]]}";50.851369,4.356027
"Vander Elststraat - rue Vander Elst
Voetgangerszone - Fietszone / Piétonnier - Zone Piétonne";Vander Elststraat - rue Vander Elst<br>Voetgangerszone - Fietszone / Piétonnier - Zone Piétonne;"{""type"": ""LineString"", ""coordinates"": [[4.3531233, 50.8523247], [4.3523562, 50.8526447]]}";50.8524847,4.35273975
Korte Beenhouwersstraat - petite rue des Bouchers;;"{""type"": ""LineString"", ""coordinates"": [[4.352928, 50.847399], [4.352999, 50.847465], [4.353165, 50.847576], [4.353343, 50.847686], [4.353605, 50.847814], [4.353825, 50.847947], [4.354046, 50.848093]]}";50.8477526587,4.35348187737
Jules Van Praetstraat- rue Jules Van Praet;;"{""type"": ""LineString"", ""coordinates"": [[4.347652, 50.848271], [4.348295, 50.848284], [4.348475, 50.848272], [4.348979, 50.848205], [4.349248, 50.848161], [4.349323, 50.84814], [4.349395, 50.848101]]}";50.8482388196,4.348531061
"Pottenbakkersstraat - rue des Pottiers
Voetgangerszone - Piétonnier";Pottenbakkersstraat - rue des Pottiers<br>Voetgangerszone - Piétonnier;"{""type"": ""LineString"", ""coordinates"": [[4.3434834, 50.844389], [4.3437275, 50.844572], [4.3440628, 50.8449039]]}";50.844636848,4.34378138331
"Museumstraat - rue du Musée
Voetgangerszone - Fietszone / Piétonnier - Zone cycliste";Museumstraat - rue du Musée<br>Voetgangerszone - Fietszone / Piétonnier - Zone cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3579835, 50.8430816], [4.3575463, 50.8428546], [4.358941, 50.8419942]]}";50.8425500646,4.35813299719
Zaterdagplein - Place du Samedi;;"{""type"": ""LineString"", ""coordinates"": [[4.350367, 50.851757], [4.35074, 50.85163]]}";50.8516935,4.3505535
Nieuwbrug - rue du Pont Neuf;;"{""type"": ""LineString"", ""coordinates"": [[4.355443, 50.853408], [4.356304, 50.853056]]}";50.853232,4.3558735
Zuidstraat - Rue du Midi;;"{""type"": ""LineString"", ""coordinates"": [[4.350581, 50.847085], [4.349948, 50.846396]]}";50.8467405,4.3502645
Mechelsestraat - rue de Malines;;"{""type"": ""LineString"", ""coordinates"": [[4.35668, 50.854404], [4.356873, 50.85417], [4.357002, 50.854041], [4.357085, 50.85401], [4.35719, 50.853937]]}";50.854149765,4.35691775337
"Fontainasplein - Place Fontainas
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Fontainasplein - Place Fontainas<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3469006, 50.8452545], [4.3465814, 50.8449683]]}";50.8451114,4.346741
"Vander Elststraat - rue Vander Elst
Voetgangerszone - Fietszone / Piétonnier - Zone Piétonne";Vander Elststraat - rue Vander Elst<br>Voetgangerszone - Fietszone / Piétonnier - Zone Piétonne;"{""type"": ""LineString"", ""coordinates"": [[4.3522945, 50.8526752], [4.351455, 50.8529749]]}";50.85282505,4.35187475
rue au Beurre - Boterstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.351517, 50.847595], [4.351637, 50.847681], [4.352195, 50.848125]]}";50.8478575463,4.35185785359
Gretrystraat- rue Grétry;;"{""type"": ""LineString"", ""coordinates"": [[4.350296, 50.850001], [4.351015, 50.84968], [4.352431, 50.849002]]}";50.8495078429,4.35136643381
Olievetenhof;;"{""type"": ""LineString"", ""coordinates"": [[4.347174, 50.845788], [4.347721, 50.845473]]}";50.8456305,4.3474475
Eikstraat - rue du Chêne	Voetgangerszone/Fietszone;Eikstraat - rue du Chêne	Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.3498719999999995, 50.844968], [4.35006, 50.84487], [4.350259, 50.84467], [4.350956, 50.84425], [4.351428, 50.844128]]}";50.8444893296,4.35062005951
